"There is no available video.","Aucune vidéo n'est disponible."
"Videos","Vidéos"
"Video page","Page des vidéos"
"Manage videos","Gérer les vidéos"
"Videos list","Liste des vidéos"
"Item Information","Vidéo information"
"Delete Item","Supprimer la vidéo"
"Save Item","Sauvegarder la vidéo"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Associated product","Produit associer"
"Display on home page","Afficher sur la page d'accueil"
"Select product","Sélectionner un produit"
"The video has been successfully recorded","La vidéo a bien été enregistrée"
"The video has been successfully deleted","La vidéo a bien été supprimée"
"Are you sure to change status of selected videos ?","Êtes vous sûre de vouloir changer le statut des vidéos ?"
"Are you sure to delete selected videos ?","Êtes vous sûre de vouloir supprimer les vidéos ?"
"Total of %d record(s) were successfully deleted","%d vidéo(s) ont été supprimées"
"Total of %d record(s) were successfully updated","%d vidéo(s) ont été mises à jour"
"This video doesn't exist","Cette vidéo n'existe pas"
"Item does not exist","Cette vidéo n'existe pas"
"Add a video","Ajouter une vidéo"
"Unable to find change to save","Impossible de trouver les modifications à enregistrer"
"Please select keys","Merci de sélectionner des vidéos"